,MAE,RMSE
NYA,0.010083415740052185,0.013403481461908015
S&P,0.010884012029060607,0.013818063536006705
NASDAQ,0.018081189818110525,0.02222541192468704
RUT,0.015607810621527241,0.01971808247805135
DJI,0.015851780540071633,0.019628164315413563
