,MAE,RMSE
NYA,0.04325091497863834,0.046983446083961315
S&P,0.03624719346705082,0.03961435020782711
NASDAQ,0.05461205552605416,0.06030029690019622
RUT,0.030722867394903392,0.03887998835905394
DJI,0.07769398059324222,0.08235140966308176
